JURIS_NAME,YEAR,total_proposed_units,total_approved_units,total_disapproved_units,total_building_permits,total_completed_units,total_affordable_permits,total_market_rate_permits
ADELANTO,2018,0.0,0.0,0.0,27.0,0.0,0.0,27.0
ADELANTO,2019,0.0,0.0,0.0,63.0,0.0,0.0,63.0
ADELANTO,2022,125.0,0.0,0.0,29.0,0.0,0.0,29.0
ADELANTO,2023,0.0,0.0,0.0,81.0,0.0,0.0,81.0
ADELANTO,2024,0.0,0.0,0.0,24.0,21.0,0.0,24.0
ADELANTO,2025,380.0,327.0,0.0,40.0,32.0,13.0,27.0
AGOURA HILLS,2018,0.0,0.0,0.0,27.0,23.0,0.0,27.0
AGOURA HILLS,2019,13.0,9.0,0.0,12.0,6.0,0.0,12.0
AGOURA HILLS,2020,321.0,4.0,35.0,3.0,0.0,0.0,3.0
AGOURA HILLS,2021,16.0,13.0,0.0,8.0,5.0,5.0,3.0
AGOURA HILLS,2022,93.0,15.0,0.0,26.0,7.0,15.0,11.0
AGOURA HILLS,2023,144.0,28.0,0.0,51.0,24.0,23.0,28.0
AGOURA HILLS,2024,678.0,320.0,0.0,59.0,39.0,27.0,32.0
AGOURA HILLS,2025,751.0,614.0,0.0,344.0,36.0,66.0,278.0
ALAMEDA,2018,161.0,161.0,0.0,181.0,39.0,1.0,180.0
ALAMEDA,2019,738.0,738.0,0.0,681.0,0.0,83.0,598.0
ALAMEDA,2020,372.0,665.0,0.0,298.0,113.0,156.0,142.0
ALAMEDA,2021,96.0,0.0,0.0,605.0,34.0,69.0,536.0
ALAMEDA,2022,431.0,431.0,0.0,243.0,35.0,104.0,139.0
ALAMEDA,2023,161.0,161.0,0.0,1096.0,964.0,194.0,902.0
ALAMEDA,2024,80.0,80.0,0.0,355.0,96.0,228.0,127.0
ALAMEDA,2025,108.0,143.0,0.0,65.0,236.0,47.0,18.0
ALAMEDA COUNTY,2018,244.0,19.0,1.0,119.0,68.0,11.0,108.0
ALAMEDA COUNTY,2019,158.0,79.0,0.0,89.0,83.0,26.0,63.0
ALAMEDA COUNTY,2020,9.0,3.0,0.0,63.0,105.0,44.0,19.0
ALAMEDA COUNTY,2021,183.0,140.0,0.0,75.0,102.0,47.0,28.0
ALAMEDA COUNTY,2022,161.0,161.0,0.0,106.0,19.0,75.0,31.0
ALAMEDA COUNTY,2023,62.0,47.0,0.0,376.0,56.0,299.0,77.0
ALAMEDA COUNTY,2024,606.0,34.0,0.0,255.0,55.0,123.0,132.0
ALAMEDA COUNTY,2025,48.0,8.0,0.0,406.0,303.0,260.0,146.0
ALBANY,2018,42.0,30.0,0.0,17.0,3.0,17.0,0.0
ALBANY,2019,100.0,100.0,0.0,31.0,9.0,24.0,7.0
ALBANY,2020,34.0,34.0,0.0,36.0,10.0,25.0,11.0
ALBANY,2021,538.0,534.0,1.0,19.0,0.0,19.0,0.0
ALBANY,2022,122.0,34.0,0.0,97.0,14.0,97.0,0.0
ALBANY,2023,24.0,19.0,0.0,11.0,17.0,11.0,0.0
ALBANY,2024,19.0,18.0,0.0,12.0,10.0,12.0,0.0
ALBANY,2025,24.0,0.0,0.0,228.0,89.0,38.0,190.0
ALHAMBRA,2018,144.0,60.0,0.0,34.0,25.0,2.0,32.0
ALHAMBRA,2019,97.0,97.0,0.0,127.0,0.0,0.0,127.0
ALHAMBRA,2020,37.0,0.0,0.0,11.0,26.0,0.0,11.0
ALHAMBRA,2021,123.0,105.0,0.0,216.0,75.0,2.0,214.0
ALHAMBRA,2022,298.0,110.0,0.0,162.0,144.0,0.0,162.0
ALHAMBRA,2023,180.0,4.0,0.0,217.0,82.0,44.0,173.0
ALHAMBRA,2024,363.0,73.0,0.0,168.0,204.0,2.0,166.0
ALHAMBRA,2025,274.0,99.0,0.0,137.0,120.0,2.0,135.0
ALISO VIEJO,2019,0.0,0.0,0.0,0.0,200.0,0.0,0.0
ALISO VIEJO,2023,343.0,0.0,0.0,0.0,0.0,0.0,0.0
ALISO VIEJO,2024,44.0,0.0,0.0,1.0,0.0,1.0,0.0
ALISO VIEJO,2025,61.0,0.0,0.0,2.0,1.0,0.0,2.0
ALPINE COUNTY,2018,5.0,5.0,0.0,1.0,1.0,1.0,0.0
ALPINE COUNTY,2019,5.0,5.0,0.0,5.0,3.0,2.0,3.0
ALPINE COUNTY,2020,5.0,5.0,0.0,7.0,4.0,2.0,5.0
ALPINE COUNTY,2021,15.0,0.0,0.0,14.0,1.0,0.0,14.0
ALPINE COUNTY,2023,9.0,0.0,0.0,10.0,5.0,0.0,10.0
ALPINE COUNTY,2024,4.0,1.0,0.0,4.0,6.0,0.0,4.0
ALPINE COUNTY,2025,9.0,0.0,0.0,4.0,7.0,0.0,4.0
ALTURAS,2019,1.0,1.0,0.0,1.0,1.0,1.0,0.0
ALTURAS,2020,3.0,3.0,0.0,3.0,3.0,2.0,1.0
ALTURAS,2021,1.0,1.0,0.0,1.0,1.0,1.0,0.0
ALTURAS,2025,1.0,1.0,0.0,0.0,0.0,0.0,0.0
AMADOR,2023,0.0,0.0,0.0,1.0,0.0,0.0,1.0
AMADOR,2024,0.0,0.0,0.0,1.0,0.0,0.0,1.0
AMADOR,2025,0.0,0.0,0.0,2.0,2.0,0.0,2.0
AMADOR COUNTY,2018,35.0,34.0,1.0,34.0,9.0,27.0,7.0
AMADOR COUNTY,2019,27.0,0.0,27.0,28.0,0.0,14.0,14.0
AMADOR COUNTY,2020,32.0,0.0,0.0,32.0,0.0,16.0,16.0
AMADOR COUNTY,2021,44.0,0.0,0.0,44.0,44.0,27.0,17.0
AMADOR COUNTY,2022,65.0,0.0,0.0,65.0,65.0,30.0,35.0
AMADOR COUNTY,2023,48.0,48.0,0.0,49.0,49.0,27.0,22.0
AMADOR COUNTY,2024,37.0,37.0,0.0,39.0,39.0,18.0,21.0
AMADOR COUNTY,2025,100.0,0.0,0.0,100.0,100.0,60.0,40.0
AMERICAN CANYON,2018,1260.0,1260.0,0.0,162.0,0.0,19.0,143.0
AMERICAN CANYON,2019,4.0,4.0,0.0,1.0,72.0,1.0,0.0
AMERICAN CANYON,2020,295.0,4.0,0.0,5.0,2.0,5.0,0.0
AMERICAN CANYON,2021,362.0,362.0,0.0,353.0,162.0,209.0,144.0
AMERICAN CANYON,2022,772.0,6.0,0.0,348.0,4.0,260.0,88.0
AMERICAN CANYON,2023,105.0,5.0,0.0,85.0,124.0,7.0,78.0
AMERICAN CANYON,2024,167.0,167.0,0.0,548.0,363.0,289.0,259.0
AMERICAN CANYON,2025,107.0,104.0,0.0,162.0,78.0,12.0,150.0
ANAHEIM,2018,1121.0,13.0,0.0,949.0,1757.0,5.0,944.0
ANAHEIM,2019,843.0,843.0,0.0,2130.0,1211.0,55.0,2075.0
ANAHEIM,2020,6099.0,5974.0,58.0,1232.0,748.0,228.0,1004.0
ANAHEIM,2021,840.0,840.0,0.0,702.0,77.0,35.0,667.0
ANAHEIM,2022,676.0,676.0,0.0,1238.0,682.0,355.0,883.0
ANAHEIM,2023,826.0,826.0,0.0,1680.0,822.0,431.0,1249.0
ANAHEIM,2024,948.0,432.0,504.0,1406.0,477.0,658.0,748.0
ANAHEIM,2025,1339.0,969.0,0.0,1411.0,1114.0,461.0,950.0
